time_slot,Bus-01_kw,Bus-02_kw,Bus-03_kw,Bus-04_kw,Staff-01_kw,Staff-02_kw,ev_total_kw,building_load_kw,contract_limit_kw,site_total_kw,tou_price_per_kwh,Bus-01_soc,Bus-02_soc,Bus-03_soc,Bus-04_soc,Staff-01_soc,Staff-02_soc
0,21.842041891156182,0.0,0.0,0.0,0.0,0.0,21.842041891156182,140.0,400.0,161.84204189115619,0.06,0.41638153141836715,0.55,0.3,0.2,0.5,0.35
1,21.842041891156182,0.0,0.0,0.0,0.0,0.0,21.842041891156182,140.0,400.0,161.84204189115619,0.06,0.43276306283673427,0.55,0.3,0.2,0.5,0.35
2,21.842041891156182,0.0,0.0,0.0,0.0,0.0,21.842041891156182,140.0,400.0,161.84204189115619,0.06,0.44914459425510145,0.55,0.3,0.2,0.5,0.35
3,21.842041891156182,0.0,0.0,0.0,0.0,0.0,21.842041891156182,140.0,400.0,161.84204189115619,0.06,0.46552612567346857,0.55,0.3,0.2,0.5,0.35
4,21.820186860316007,19.867228693129004,0.0,0.0,0.0,0.0,41.68741555344501,140.0,400.0,181.68741555344502,0.06,0.48189126581870556,0.5649004215198468,0.3,0.2,0.5,0.35
5,21.820186860316007,19.867228693129004,0.0,0.0,0.0,0.0,41.68741555344501,140.0,400.0,181.68741555344502,0.06,0.4982564059639426,0.5798008430396936,0.3,0.2,0.5,0.35
6,21.820186860316007,19.867228693129004,0.0,0.0,0.0,0.0,41.68741555344501,140.0,400.0,181.68741555344502,0.06,0.5146215461091795,0.5947012645595403,0.3,0.2,0.5,0.35
7,21.820186860316007,19.867228693129004,0.0,0.0,0.0,0.0,41.68741555344501,140.0,400.0,181.68741555344502,0.06,0.5309866862544166,0.609601686079387,0.3,0.2,0.5,0.35
8,21.820186860316007,19.867228693129004,0.0,0.0,0.0,0.0,41.68741555344501,140.0,400.0,181.68741555344502,0.06,0.5473518263996535,0.6245021075992339,0.3,0.2,0.5,0.35
9,21.820186860316007,19.867228693129004,0.0,0.0,0.0,0.0,41.68741555344501,140.0,400.0,181.68741555344502,0.06,0.5637169665448906,0.6394025291190806,0.3,0.2,0.5,0.35
10,21.820186860316007,19.867228693129004,0.0,0.0,0.0,0.0,41.68741555344501,140.0,400.0,181.68741555344502,0.06,0.5800821066901276,0.6543029506389273,0.3,0.2,0.5,0.35
11,21.820186860316007,19.867228693129004,0.0,0.0,0.0,0.0,41.68741555344501,140.0,400.0,181.68741555344502,0.06,0.5964472468353645,0.669203372158774,0.3,0.2,0.5,0.35
12,21.820186860316007,19.867228693129004,0.0,0.0,0.0,0.0,41.68741555344501,140.0,400.0,181.68741555344502,0.06,0.6128123869806015,0.6841037936786207,0.3,0.2,0.5,0.35
13,21.820186860316007,19.867228693129004,0.0,0.0,0.0,0.0,41.68741555344501,140.0,400.0,181.68741555344502,0.06,0.6291775271258385,0.6990042151984676,0.3,0.2,0.5,0.35
14,21.820186860316007,19.867228693129004,0.0,0.0,0.0,0.0,41.68741555344501,140.0,400.0,181.68741555344502,0.06,0.6455426672710756,0.7139046367183143,0.3,0.2,0.5,0.35
15,21.820186860316007,19.867228693129004,0.0,0.0,0.0,0.0,41.68741555344501,140.0,400.0,181.68741555344502,0.06,0.6619078074163125,0.728805058238161,0.3,0.2,0.5,0.35
16,21.00826166013752,19.09947982070695,34.99999996573321,0.0,0.0,0.0,75.10774144657768,140.0,400.0,215.10774144657768,0.06,0.6776640036614157,0.7431296681036912,0.32515624997537074,0.2,0.5,0.35
17,21.00826166013752,19.09947982070695,34.99999996573321,0.0,0.0,0.0,75.10774144657768,140.0,400.0,215.10774144657768,0.06,0.6934201999065188,0.7574542779692215,0.3503124999507415,0.2,0.5,0.35
18,21.00826166013752,19.09947982070695,34.99999996573321,0.0,0.0,0.0,75.10774144657768,140.0,400.0,215.10774144657768,0.06,0.709176396151622,0.7717788878347517,0.37546874992611223,0.2,0.5,0.35
19,21.00826166013752,19.09947982070695,34.99999996573321,0.0,0.0,0.0,75.10774144657768,140.0,400.0,215.10774144657768,0.06,0.7249325923967251,0.7861034977002819,0.400624999901483,0.2,0.5,0.35
20,21.00826166013752,19.09947982070695,34.99999996573321,0.0,0.0,0.0,75.10774144657768,140.0,400.0,215.10774144657768,0.06,0.7406887886418283,0.8004281075658122,0.42578124987685373,0.2,0.5,0.35
21,21.00826166013752,19.09947982070695,34.99999996573321,0.0,0.0,0.0,75.10774144657768,140.0,400.0,215.10774144657768,0.06,0.7564449848869315,0.8147527174313423,0.4509374998522245,0.2,0.5,0.35
22,21.00826166013752,19.09947982070695,34.99999996573321,0.0,0.0,0.0,75.10774144657768,140.0,400.0,215.10774144657768,0.06,0.7722011811320346,0.8290773272968726,0.4760937498275952,0.2,0.5,0.35
23,21.00826166013752,19.09947982070695,34.99999996573321,0.0,0.0,0.0,75.10774144657768,140.0,400.0,215.10774144657768,0.06,0.7879573773771378,0.8434019371624026,0.501249999802966,0.2,0.5,0.35
24,20.680873887298024,18.866020590843323,34.999999964202104,21.999999857940015,0.0,0.0,96.54689430028345,140.0,400.0,236.54689430028344,0.06,0.8034680327926114,0.8575514526055352,0.5264062497772363,0.2176785713144161,0.5,0.35
25,20.680873887298024,18.866020590843323,34.999999964202104,21.999999857940015,0.0,0.0,96.54689430028345,140.0,400.0,236.54689430028344,0.06,0.8189786882080848,0.8717009680486676,0.5515624997515065,0.23535714262883217,0.5,0.35
